Summer School 2016 Budget,,,,,,,
,Option 1,Leukerbad Clinic,,,Option 2,Bristol (conf. Room),
,,,Total,,,,Total
Coffee breaks,6,280,1680,,9.5,280,2660
Rent conf. Room,2000,1,2000,,2500,1,2500
,,,,,,,
Food and accomodation (participant),550,31,17050,,550,31,17050
Food and accomodation (speaker),800,4,3200,,800,4,3200
Travel cost (in Switzerland),250,1,250,,250,1,250
Travel cost (in Europe),1000,1,1000,,1000,1,1000
Travel cost (in USA),2500,2,5000,,2500,2,5000
Excursion,30,35,1050,,30,35,1050
Miscellaneous,1500,1,1500,,1500,1,1500
,,,,,,,
,,,32730,,,,34210
